Lab_action,Sample_ID,Tube_number,Library,Barcode,EO,EO_normalised,BL_inferred,n_raw_haps,Proteins_in_final_data,Exclusion_stage,Recommended_action,Redo_reason_SI
Re-DNA-extraction,Library002_barcode40,112,2,40,8,EO08,BL1,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library002_barcode51,65,2,51,18,EO18,BL5,64,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library010_barcode23,,10,23,18,EO18,BL5,28,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library002_barcode41,122,2,41,24-14,EO24,BL5,52,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library009_barcode43,,9,43,25,EO25,BL5,52,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library006_barcode39,236,6,39,27,EO27,BL4,84,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library007_barcode74,271,7,74,27,EO27,BL4,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library007_barcode76,273,7,76,27,EO27,BL4,44,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library009_barcode79,,9,79,27,EO27,BL4,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library001_barcode01,103,1,1,27rt,EO27rt,Unassigned,28,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library002_barcode53,151,2,53,715-1,EO715,Unassigned,48,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library005_barcode04,199,5,4,76,EO76,BL3,28,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library005_barcode07,202,5,7,76,EO76,BL3,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library005_barcode10,205,5,10,76,EO76,BL3,48,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library005_barcode20,216,5,20,76,EO76,BL3,64,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library005_barcode21,217,5,21,76,EO76,BL3,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library009_barcode07,,9,7,76,EO76,BL3,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library009_barcode09,,9,9,76,EO76,BL3,48,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library009_barcode59,,9,59,76,EO76,BL3,20,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-DNA-extraction,Library009_barcode74,,9,74,76,EO76,BL3,32,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.,
Re-PCR,Library009_barcode89,,9,89,,,Unassigned,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library010_barcode89,,10,89,,,Unassigned,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode41,,11,41,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode42,,11,42,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode44,,11,44,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode45,,11,45,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode46,,11,46,8,EO08,BL1,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode48,,11,48,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode52,,11,52,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode53,,11,53,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode54,,11,54,8,EO08,BL1,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode55,,11,55,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode56,,11,56,8,EO08,BL1,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode65,,11,65,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode67,,11,67,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode68,,11,68,8,EO08,BL1,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode69,,11,69,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode76,,11,76,8,EO08,BL1,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode78,,11,78,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
Re-PCR,Library011_barcode79,,11,79,8,EO08,BL1,0,0.0,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension),
